sample_id,strategy,timestamp,grid_x,grid_y,spacing_m,lon,lat
grid_sampling_0001_0001,grid_sampling,2026-01-26T02:07:28.517104,1,1,200,9.18211402376953,45.45211402376953
grid_sampling_0001_0002,grid_sampling,2026-01-26T02:07:28.517104,1,2,200,9.18211402376953,45.45422804753906
grid_sampling_0001_0003,grid_sampling,2026-01-26T02:07:28.517104,1,3,200,9.18211402376953,45.45634207130859
grid_sampling_0001_0004,grid_sampling,2026-01-26T02:07:28.517104,1,4,200,9.18211402376953,45.45845609507812
grid_sampling_0001_0005,grid_sampling,2026-01-26T02:07:28.517104,1,5,200,9.18211402376953,45.46057011884765
grid_sampling_0001_0006,grid_sampling,2026-01-26T02:07:28.517104,1,6,200,9.18211402376953,45.46268414261718
grid_sampling_0001_0007,grid_sampling,2026-01-26T02:07:28.517104,1,7,200,9.18211402376953,45.46479816638671
grid_sampling_0001_0008,grid_sampling,2026-01-26T02:07:28.517104,1,8,200,9.18211402376953,45.466912190156236
grid_sampling_0001_0009,grid_sampling,2026-01-26T02:07:28.517104,1,9,200,9.18211402376953,45.469026213925765
grid_sampling_0002_0001,grid_sampling,2026-01-26T02:07:28.517104,2,1,200,9.184228047539062,45.45211402376953
grid_sampling_0002_0002,grid_sampling,2026-01-26T02:07:28.517104,2,2,200,9.184228047539062,45.45422804753906
grid_sampling_0002_0003,grid_sampling,2026-01-26T02:07:28.517104,2,3,200,9.184228047539062,45.45634207130859
grid_sampling_0002_0004,grid_sampling,2026-01-26T02:07:28.517104,2,4,200,9.184228047539062,45.45845609507812
grid_sampling_0002_0005,grid_sampling,2026-01-26T02:07:28.517104,2,5,200,9.184228047539062,45.46057011884765
grid_sampling_0002_0006,grid_sampling,2026-01-26T02:07:28.517104,2,6,200,9.184228047539062,45.46268414261718
grid_sampling_0002_0007,grid_sampling,2026-01-26T02:07:28.517104,2,7,200,9.184228047539062,45.46479816638671
grid_sampling_0002_0008,grid_sampling,2026-01-26T02:07:28.517104,2,8,200,9.184228047539062,45.466912190156236
grid_sampling_0002_0009,grid_sampling,2026-01-26T02:07:28.517104,2,9,200,9.184228047539062,45.469026213925765
grid_sampling_0003_0001,grid_sampling,2026-01-26T02:07:28.517104,3,1,200,9.186342071308593,45.45211402376953
grid_sampling_0003_0002,grid_sampling,2026-01-26T02:07:28.517104,3,2,200,9.186342071308593,45.45422804753906
grid_sampling_0003_0003,grid_sampling,2026-01-26T02:07:28.517104,3,3,200,9.186342071308593,45.45634207130859
grid_sampling_0003_0004,grid_sampling,2026-01-26T02:07:28.517104,3,4,200,9.186342071308593,45.45845609507812
